Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 181422496.00 	media espera: 181409232.00 	Media_percurso: 13267.40 	Total perc. elevador: 132674 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 11553187.00 	media espera: 11539918.00 	Media_percurso: 13267.40 	Total perc. elevador: 132674 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26563.20 	media espera: 13291.90 	Media_percurso: 13269.30 	Total perc. elevador: 132693 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26551.20 	media espera: 13280.20 	Media_percurso: 13269.00 	Total perc. elevador: 132690 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26546.70 	media espera: 13274.70 	Media_percurso: 13270.00 	Total perc. elevador: 132700 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26542.60 	media espera: 13272.10 	Media_percurso: 13268.50 	Total perc. elevador: 132685 	Portas elev: 20

Qtd Andar: 10 	 Qtd Passageiros: 10 	Media total: 26542.60 	media espera: 13272.10 	Media_percurso: 13268.50 	Total perc. elevador: 132685 	Portas elev: 20

